City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,maloye ganyushkino,46.6,49.2667,36.34,21,7,5.79,KZ,1718608007
210,vorgashor,67.5833,63.95,10.45,58,20,3.99,RU,1718607782
211,samfya,-11.3649,29.5565,17.47,58,9,4.57,ZM,1718608010
212,lycksele,64.5954,18.6735,13.93,77,100,3.09,SE,1718608011
213,abepura,-2.6333,140.5833,28.45,79,40,3.6,ID,1718608012
214,vilyuysk,63.7553,121.6247,8.33,96,100,3.13,RU,1718608013
215,pisco,-13.7,-76.2167,16.03,94,100,2.06,PE,1718607843
216,slavyanka,42.8633,131.3847,23.5,50,25,1.67,RU,1718608015
217,zapolyarnyy,69.4154,30.8136,12.6,53,100,4.45,RU,1718607925
218,nemuro,43.3236,145.575,14.45,89,18,1.1,JP,1718607898
219,canutama,-6.5339,-64.3831,23.91,81,64,0.83,BR,1718608018
220,sengkang,-4.1279,120.0297,30.28,62,38,4.55,ID,1718607845
221,dingcheng,32.1272,115.0394,31.64,41,8,2.66,CN,1718608021
222,new norfolk,-42.7826,147.0587,8.72,91,82,1.0,AU,1718608022
223,touros,-5.1989,-35.4608,23.07,92,29,4.83,BR,1718607943
224,carauari,-4.8828,-66.8958,23.98,84,67,0.47,BR,1718608024
225,broome,42.2506,-75.833,18.21,84,0,2.57,US,1718608025
226,colonia,50.9333,6.95,18.87,80,20,2.57,DE,1718608013
227,saint-philippe,-21.3585,55.7679,25.06,70,4,4.0,RE,1718608027
228,fort irwin,35.2627,-116.6848,24.9,22,0,7.2,US,1718608030
229,klyuchi,52.2667,79.1667,31.24,38,23,4.68,RU,1718608031
230,bairnsdale,-37.8333,147.6167,9.47,92,57,2.2,AU,1718608032
231,illizi,26.4833,8.4667,32.89,8,0,4.81,DZ,1718607742
232,grand falls-windsor,48.9332,-55.6649,6.95,94,0,0.89,CA,1718607956
233,remire-montjoly,4.9167,-52.2667,24.02,100,100,2.06,GF,1718608035
234,mugia,43.1041,-9.2179,17.73,98,100,7.48,ES,1718608036
235,krasnoarmeyskoye,52.7182,50.0322,32.17,38,31,3.66,RU,1718608037
236,weno,7.4515,151.8468,29.97,84,100,3.6,FM,1718608039
237,lazaro cardenas,17.9583,-102.2,27.34,81,48,4.22,MX,1718608040
238,tadmur,34.5608,38.2805,31.73,23,0,1.84,SY,1718608041
239,imperatriz,-5.5264,-47.4917,24.17,65,95,0.81,BR,1718608043
240,kolonia,50.9333,6.95,18.87,80,20,2.57,DE,1718608013
241,maile,-38.9466,-72.3727,9.34,86,100,7.31,CL,1718608045
242,nouadhibou,20.931,-17.0347,19.99,83,0,7.72,MR,1718607988
243,kingston,17.997,-76.7936,28.53,79,75,4.63,JM,1718607906
244,lake havasu city,34.4839,-114.3224,35.0,10,0,2.06,US,1718607831
245,bridgewater,44.3835,-64.5155,8.71,92,17,2.19,CA,1718608050
246,ulladulla,-35.35,150.4667,13.59,65,90,8.13,AU,1718607886
247,hithadhoo,-0.6,73.0833,28.62,75,100,4.11,MV,1718608053
248,nantucket,41.2835,-70.0995,17.22,88,0,3.6,US,1718608054
249,palmerston,-12.486,130.9833,32.99,35,40,3.6,AU,1718608055
